difficulty_bin,version_bin,recommended_start,recommended_end,avg_nonce,stddev,samples
0,0,1082,4294894485,1047897200.6917701,1295098789.3701153,90718
1,0,2048,4294834628,2150275997.0083427,1240236176.2385073,88701
2,0,10931,4294956079,2144757180.7615936,1237642088.2588408,90719
3,0,8130,4294909811,2141341002.5334656,1234945909.3130019,88703
4,0,146830,4294916087,2136236022.8076177,1236112907.6038215,26255
4,1,60269,4294871724,2087609721.8328416,1228101588.8482325,53566
4,2,2759,4294584955,2098986772.67848,1234641472.4201689,7026
4,3,3619924,4292338446,2128197925.0204742,1239012750.4812813,1856
5,1,2108,4294618508,2085685030.134548,1230956393.160564,73327
5,2,82778,4294263833,2099529887.0327046,1223037295.2961185,16328
5,3,2485588,4291161917,2183563583.639699,1240700700.5476544,1063
6,1,224070,4294921752,2007067509.5456038,1209349955.526087,50588
6,2,82397,4293383084,2053462627.557331,1234804089.2432923,19649
6,3,20260,4293797929,1997456235.3721435,1239045659.8543856,18466
7,1,44789,4294961330,1933324882.5990512,1232474462.3891222,19813
7,2,81928,4294552891,2011107572.1901536,1243522819.3922968,32174
7,3,98874,4294858365,1884254725.8954327,1237346882.606001,38731
8,1,221664,4292225951,1894444132.6604521,1221525092.1004086,7563
8,2,251200,4294921707,2004088783.6690483,1228742084.794599,30932
8,3,36173,4294960720,2028243721.8824046,1236809563.7962701,50206
9,1,3110353,4291718210,1748821345.6301107,1155344663.859195,4158
9,2,12670,4294936937,2014393499.0181725,1225796559.4224644,19645
9,3,97328,4294909904,2058482390.1567998,1230489257.3032162,64560
